params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1.0}",-394.9579024841627,130.1349004780619,24,low_grown,XGBoost,394.9579024841627
"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 0.8}",-382.3000962444995,152.16758568662553,11,low_grown,XGBoost,382.3000962444995
"{'model__learning_rate': 0.05, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 1.0}",-394.75074865280646,130.29872960078796,23,low_grown,XGBoost,394.75074865280646
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-426.19652645535734,194.86013330154196,29,low_grown,XGBoost,426.19652645535734
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-432.33746881262124,192.94908225336877,33,low_grown,XGBoost,432.33746881262124
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-426.56813792627446,189.4700074995565,30,low_grown,XGBoost,426.56813792627446
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-430.0137483226798,191.17142511810593,32,low_grown,XGBoost,430.0137483226798
"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-381.62846104645917,162.06024661075747,10,low_grown,XGBoost,381.62846104645917
"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-386.73791059679087,142.52757873682708,16,low_grown,XGBoost,386.73791059679087
"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-381.45592870238875,162.5638169170269,9,low_grown,XGBoost,381.45592870238875
"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-386.62731573883246,143.19419107227964,15,low_grown,XGBoost,386.62731573883246
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.8}",-386.99389356435825,150.97855183028514,18,low_grown,XGBoost,386.99389356435825
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1.0}",-394.37269102593217,134.16314829092167,22,low_grown,XGBoost,394.37269102593217
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 0.8}",-386.933862734763,151.18511408492068,17,low_grown,XGBoost,386.933862734763
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 1.0}",-394.34246529924314,134.18736386074065,21,low_grown,XGBoost,394.34246529924314
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 0.8}",-347.92741559225027,70.67403717913747,23,low_grown,LightGBM,347.92741559225027
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 1.0}",-347.92741559225027,70.67403717913747,23,low_grown,LightGBM,347.92741559225027
